"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"L-Isoleucine","L-Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@@H](C(=O)O)N","1"
"L-Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@@H](C(=O)O)N","1"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000357","441","20067","C01089","125","CC(CC(=O)O)O","1"
"3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","HMDB0000754","69362","37084","","5722","CC(C)(CC(=O)O)O","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@@H](C(=O)O)N","1"
"Alpha-Hydroxyisobutyric acid","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129","","3750","CC(C)(C(=O)O)O","1"
"L-Leucine","L-Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@@H](C(=O)O)N","1"
"Acetic acid","Acetic acid","HMDB0000042","176","15366","C00033","3206","CC(=O)O","1"
"L-Proline","L-Proline","HMDB0000162","145742","17203","C00148","29","C1C[C@H](NC1)C(=O)O","1"
"L-Glutamine","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"Pyruvic acid","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"Citric acid","Citric acid","HMDB0000094","311","30769","C00158","124","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"L-Methionine","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@@H](C(=O)O)N","1"
"Sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(=O)O","1"
"L-Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","C([C@@H](C(=O)O)N)C(=O)N","1"
"L-Lysine","L-Lysine","HMDB0000182","5962","18019","C00047","5200","C(CCN)C[C@@H](C(=O)O)N","1"
"Acetylcholine","Acetylcholine","HMDB0000895","187","15355","C01996","57","CC(=O)OCC[N+](C)(C)C","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","71920","16870","C00670","370","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"D-Glucose","D-Glucose","HMDB0000122","5793","4167","C00031","133","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","1"
"Taurine","Taurine","HMDB0000251","1123","15891","C00245","31","C(CS(=O)(=O)O)N","1"
"Myoinositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"Glycerol","Glycerol","HMDB0000131","753","17522","C00116","105","C(C(CO)O)O","1"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","C(C(=O)O)N","1"
"Ethanol","Ethanol","HMDB0000108","702","16236","C00469","3203","CCO","1"
"Guanidoacetic acid","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","C(C(=O)O)N=C(N)N","1"
"Creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)N=C1N","1"
"D-Mannose","D-Mannose","HMDB0000169","18950","4208","C00159",NA,"C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"L-Histidine","L-Histidine","HMDB0000177","6274","15971","C00135","21","C1=C(NC=N1)C[C@@H](C(=O)O)N","1"
"Adenosine","Adenosine","HMDB0000050","60961","16335","C00212","86","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
